Project Name,Package Name,Architecture Smell,Cause of the Smell
rilsikane_dlt-nrct,com.facebook.internal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnalyticsEvents]; [AttributionIdentifiers; Utility; Validate; FileLruCache; ImageResponseCache; Logger; UrlRedirectCache; ImageDownloader; ImageRequest; ImageResponse; WorkQueue; ImageDownloader.DownloaderContext; ImageResponseCache.BufferedHttpInputStream; NativeProtocol; PlatformServiceClient; ServerProtocol]; [CacheableRequestBatch]; [FileLruCache.BufferFile]; [FileLruCache.StreamHeader]; [FileLruCache.CloseCallbackOutputStream]; [FileLruCache.CopyingInputStream]; [FileLruCache.Limits]; [FileLruCache.ModifiedFile]; [FileLruCache.StreamCloseCallback]; [ImageDownloader.RequestKey]; [ImageDownloader.CacheReadWorkItem]; [ImageDownloader.DownloadImageWorkItem]; [ImageRequest.Callback]; [ImageRequest.Builder]; [NativeProtocol.NativeAppInfo]; [NativeProtocol.KatanaAppInfo]; [NativeProtocol.MessengerAppInfo]; [NativeProtocol.WakizashiAppInfo]; [PlatformServiceClient.CompletedListener]; [SessionAuthorizationType]; [SessionTracker]; [SessionTracker.ActiveSessionBroadcastReceiver]; [SessionTracker.CallbackWrapper]; [Utility.FetchedAppSettings]; [WorkQueue.WorkNode]; [WorkQueue.WorkItem]. LCC (Lack of Component Cohesion) = 0.64
rilsikane_dlt-nrct,com.facebook.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.facebook.internal; com.facebook.model; com.facebook.internal
rilsikane_dlt-nrct,com.facebook.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.facebook.internal
rilsikane_dlt-nrct,com.facebook.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GraphLocation; GraphObject; GraphObject.Factory; GraphObject.GraphObjectProxy; GraphObjectList; GraphPlace; GraphUser; OpenGraphAction; OpenGraphAction.Factory; OpenGraphObject; OpenGraphObject.Factory; GraphMultiResult; GraphObject.GraphObjectListImpl]; [GraphObject.ProxyBase]; [JsonUtil]; [JsonUtil.JSONObjectEntry]. LCC (Lack of Component Cohesion) = 0.25
rilsikane_dlt-nrct,com.facebook.widget,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 70
rilsikane_dlt-nrct,com.facebook.widget,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FacebookDialog]; [FacebookDialog.Callback]; [FacebookDialog.DialogFeature]; [FacebookDialog.ShareDialogFeature]; [FacebookDialog.MessageDialogFeature]; [FacebookDialog.OpenGraphActionDialogFeature]; [FacebookDialog.OpenGraphMessageDialogFeature]; [FacebookDialog.OnPresentCallback]; [FacebookDialog.Builder]; [FacebookDialog.ShareDialogBuilderBase]; [FacebookDialog.ShareDialogBuilder]; [FacebookDialog.PhotoDialogBuilderBase]; [FacebookDialog.PhotoShareDialogBuilder]; [FacebookDialog.PhotoMessageDialogBuilder]; [FacebookDialog.MessageDialogBuilder]; [FacebookDialog.OpenGraphDialogBuilderBase]; [FacebookDialog.OpenGraphActionDialogBuilder]; [FacebookDialog.OpenGraphMessageDialogBuilder]; [FacebookDialog.PendingCall]; [FacebookFragment; UserSettingsFragment; LoginButton; ToolTipPopup]; [FacebookFragment.DefaultSessionStatusCallback]; [FriendPickerFragment; PickerFragment; PlacePickerFragment; SimpleGraphObjectCursor; GraphObjectAdapter; GraphObjectCursor; PickerFragment.LoadingStrategy; PickerFragment.PickerFragmentAdapter; PlacePickerFragment.AsNeededLoadingStrategy; GraphObjectPagingLoader]; [FriendPickerFragment.ImmediateLoadingStrategy]; [GraphObjectAdapter.DataNeededListener]; [GraphObjectAdapter.OnErrorListener]; [GraphObjectAdapter.SectionAndItem]; [GraphObjectAdapter.Type]; [GraphObjectAdapter.Filter]; [GraphObjectAdapter.ItemPicture]; [GraphObjectAdapter.ItemPictureData]; [GraphObjectPagingLoader.OnErrorListener]; [GraphObjectPagingLoader.PagedResults]; [LoginButton.ToolTipMode]; [LoginButton.LoginButtonProperties]; [LoginButton.UserInfoChangedCallback]; [LoginButton.OnErrorListener]; [LoginButton.LoginClickListener]; [LoginButton.LoginButtonCallback]; [PickerFragment.OnErrorListener]; [PickerFragment.OnDataChangedListener]; [PickerFragment.OnSelectionChangedListener]; [PickerFragment.OnDoneButtonClickedListener]; [PickerFragment.GraphObjectFilter]; [PickerFragment.SelectionStrategy]; [PickerFragment.SingleSelectionStrategy]; [PickerFragment.MultiSelectionStrategy]; [PlacePickerFragment.SearchTextWatcher]; [ProfilePictureView]; [ProfilePictureView.OnErrorListener]; [ToolTipPopup.Style]; [ToolTipPopup.PopupContentView]; [WebDialog; WebDialog.DialogWebViewClient; WebDialog.BuilderBase]; [WebDialog.OnCompleteListener]; [WebDialog.Builder]; [WebDialog.FeedDialogBuilder]; [WebDialog.RequestsDialogBuilder]. LCC (Lack of Component Cohesion) = 0.8
rilsikane_dlt-nrct,ru.truba.touchgallery.GalleryWidget,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BasePagerAdapter; FilePagerAdapter; GalleryViewPager; InfinityFilePagerAdapter; InfinityUrlAdapter; UrlPagerAdapter]; [BasePagerAdapter.OnItemChangeListener]. LCC (Lack of Component Cohesion) = 0.29
rilsikane_dlt-nrct,ru.truba.touchgallery.TouchView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EclairMotionEvent; WrapMotionEvent; TouchImageView; FileTouchImageView; UrlTouchImageView; FileTouchImageView.ImageLoadTask]; [InputStreamWrapper]; [InputStreamWrapper.InputStreamProgressListener]; [TouchImageView.Task]; [TouchImageView.ScaleListener]; [TouchImageView.TimeHandler]; [UrlTouchImageView.ImageLoadTask]. LCC (Lack of Component Cohesion) = 0.58
rilsikane_dlt-nrct,com.handmark.pulltorefresh.library,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
rilsikane_dlt-nrct,com.handmark.pulltorefresh.library,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ILoadingLayout; IPullToRefresh; LoadingLayoutProxy; PullToRefreshBase; PullToRefreshHorizontalScrollView; PullToRefreshListView; PullToRefreshScrollView; PullToRefreshWebView; OverscrollHelper; PullToRefreshAdapterViewBase; PullToRefreshExpandableListView; PullToRefreshGridView]; [PullToRefreshBase.AnimationStyle]; [PullToRefreshBase.Mode]; [PullToRefreshBase.OnLastItemVisibleListener]; [PullToRefreshBase.OnPullEventListener]; [PullToRefreshBase.OnRefreshListener]; [PullToRefreshBase.OnRefreshListener2]; [PullToRefreshBase.Orientation]; [PullToRefreshBase.State]; [PullToRefreshBase.SmoothScrollRunnable]; [PullToRefreshBase.OnSmoothScrollFinishedListener]; [PullToRefreshExpandableListView.InternalExpandableListView]; [PullToRefreshExpandableListView.InternalExpandableListViewSDK9]; [PullToRefreshGridView.InternalGridView]; [PullToRefreshGridView.InternalGridViewSDK9]; [PullToRefreshHorizontalScrollView.InternalHorizontalScrollViewSDK9]; [PullToRefreshListView.InternalListViewSDK9]; [PullToRefreshListView.InternalListView]; [PullToRefreshScrollView.InternalScrollViewSDK9]; [PullToRefreshWebView.InternalWebViewSDK9]. LCC (Lack of Component Cohesion) = 0.65
rilsikane_dlt-nrct,com.handmark.pulltorefresh.library,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.handmark.pulltorefresh.library; com.handmark.pulltorefresh.library.internal; com.handmark.pulltorefresh.library
rilsikane_dlt-nrct,com.handmark.pulltorefresh.library.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.handmark.pulltorefresh.library
rilsikane_dlt-nrct,com.handmark.pulltorefresh.library.internal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmptyViewMethodAccessor]; [FlipLoadingLayout; LoadingLayout; RotateLoadingLayout; Utils; ViewCompat]; [IndicatorLayout]; [ViewCompat.SDK11]; [ViewCompat.SDK16]. LCC (Lack of Component Cohesion) = 0.56
rilsikane_dlt-nrct,com.roscopeco.ormdroid,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Entity; EntityTypeMapping; ORMDroidApplication; Query; TypeMapper; TypeMapping; MappingList; NumericTypeMapping; StringTypeMapping]; [Entity.EntityMapping]; [ORMDroidException]; [TypeMappingException]. LCC (Lack of Component Cohesion) = 0.33
rilsikane_dlt-nrct,com.dlt.application.adapter,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
rilsikane_dlt-nrct,com.dlt.application.adapter,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.dlt.application.main
rilsikane_dlt-nrct,com.dlt.application.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommentListAdapter]; [CommentListAdapter.ViewHolder]; [FlipViewAdapter; GridViewImageAdapter]; [FlipViewAdapter.ViewHolder]; [FlipViewAdapter.AppConstant]; [GridViewImageAdapter.ViewHolder]; [GridViewImageAdapter.OnImageClickListener]; [GridViewProfessorAdapter]; [GridViewProfessorAdapter.ViewHolder]; [GridViewProfessorAdapter.OnImageClickListener]; [ImagePagerAdapter]; [ImagePagerAdapter.ViewHolder]; [InformationDetailListAdapter]; [InformationDetailListAdapter.OnBlogSelectedListener]; [InformationDetailListAdapter.ViewHolder]; [KmsMenuListAdapter]; [KmsMenuListAdapter.OnMenuSelectedListener]; [KmsMenuListAdapter.ViewHolder]; [ProfKatooListAdapter]; [ProfKatooListAdapter.OnListClickListener]; [ProfKatooListAdapter.ViewHolder]; [ReferenceListAdapter]; [ReferenceListAdapter.ViewHolder]; [RightMenuListAdapter]; [RightMenuListAdapter.ViewHolder]; [SearchListAdapter]; [SearchListAdapter.OnBlogSelectedListener]; [SearchListAdapter.ViewHolder]; [TaxonomyListAdapter]; [TaxonomyListAdapter.OnTaxanomySelectedListener]; [TaxonomyListAdapter.ViewHolder]. LCC (Lack of Component Cohesion) = 0.97
rilsikane_dlt-nrct,com.dlt.application.adapter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.dlt.application.adapter; com.dlt.application.main; com.dlt.application.adapter
rilsikane_dlt-nrct,com.dlt.application.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AttachDto]; [BlogDto]; [CommentDto]; [CommonDto; MemberDto]; [GalleryDto]; [MenuDto]; [ReferenceDto]; [SlideDto]. LCC (Lack of Component Cohesion) = 0.89
rilsikane_dlt-nrct,com.dlt.application.main,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 59
rilsikane_dlt-nrct,com.dlt.application.main,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AboutPageActivity]; [AndroidGalleryMainActivity]; [CalendarMainActivity]; [CalendarMainActivity.SimpleAdapter]; [CalendarMainActivity.Item]; [CalendarMainActivity.GetAllCalendar]; [ComentMainActivity]; [ComentMainActivity.GetAllComment]; [ContactUsActivity]; [ContentMainActivity]; [ContentMainActivity.MyPageAdapter]; [InformDetailActivity]; [InformDetailActivity.GetAllInformationDetail]; [InformDetailSubMainActivity]; [InformDetailSubMainActivity.GetAllInformationDetail]; [KatooContentActivity]; [KMSMenuActivity]; [KMSMenuActivity.FetchKMSMenu]; [KMSMenuActivity.MockKMSMenu]; [LoginPageActivity]; [LoginPageActivity.CheckLogin]; [MamberPageActivity]; [MindMapMainActivity]; [MyWebView]; [NrctMainActivity]; [NrctMainActivity.InitFlipView]; [ProfessorContentActivity]; [ProfessorContentActivity.GetAllComment]; [ProfessorMainActivity; Utils]; [ProfessorMainActivity.Professor]; [ProfessorMainActivity.AppConstant2]; [ProfPostPageActivity]; [PubDocContentActivity]; [PubDocContentActivity.AppWebViewClients]; [PublishDocumentPageActivity]; [PublishDocumentPageActivity.LayoutAllListener]; [PublishDocumentPageActivity.LayoutOwnListener]; [PublishDocumentPageActivity.LoadForOwnList]; [PublishDocumentPageActivity.LoadForAllList]; [PublishDocumentPageActivity.ListForAllAdapter]; [PublishDocumentPageActivity.ViewHolderForFirst]; [PublishDocumentPageActivity.AppWebViewClients]; [PublishDocumentPageActivity.OnAttachClickListener]; [ReferenceDetailMainActivity]; [ReferenceMainActivity]; [ReferenceMainActivity.GetAllInformationDetail]; [ReferenceMainActivity.MockReference]; [RegistrationPageActivity]; [RightMenuActivity]; [RightMenuActivity.MockMenuList]; [RightMenuActivity.FetchMenuList]; [SearchPageActivity]; [SearchPageActivity.GetSearchInformation]; [SearchPageActivity.SearchByCriteria]; [SplashScreenActivity]; [TaxonomyActivity]; [TaxonomyActivity.MockMenuList]; [TaxonomyActivity.FetchMenuList]. LCC (Lack of Component Cohesion) = 0.98
rilsikane_dlt-nrct,com.jakewharton.salvage,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActionItem; QuickAction; PopupWindows]; [ProgressHUD]; [QuickAction.OnActionItemClickListener]; [QuickAction.OnDismissListener]; [RecycleBin; RecyclingPagerAdapter]; [ScreenSizeUntil]. LCC (Lack of Component Cohesion) = 0.67
