Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
abtin_bigdata,com.novadox.bigdata.gemfire.function,PersonFunction,storePersonArray,Long Statement,The length of the statement "Assert.isInstanceOf(RegionFunctionContext.class`functionContext`"Expecting a RegionFunctionContext. Make sure the functions runs on Region");" is 141.,26
abtin_bigdata,com.novadox.bigdata.gemfire.function,PersonFunction,storeSinglePerson,Long Statement,The length of the statement "Assert.isInstanceOf(RegionFunctionContext.class`functionContext`"Expecting a RegionFunctionContext. Make sure the functions runs on Region");" is 141.,51
abtin_bigdata,com.novadox.bigdata.gemfire.service,RabbitReader,container,Long Statement,The length of the statement "log.info("Registering queue listener connecting to rabbit on [{}:{}] virtualHost [{}]"`this.connectionFactory.getHost()`connectionFactory.getPort()`connectionFactory.getVirtualHost());" is 184.,40
