Project Name,Package Name,Architecture Smell,Cause of the Smell
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.blocks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseBlock; BlockInvisLight; BlockSolidFog; BlockFog]; [BaseContainerBlock]; [BlockCustomFiniteFluid]; [BlockCustomLeaves]; [BlockCustomLog]; [BlockDecorativeStone]; [BlockGemstone]; [BlockGemstoneOre; BlockOre]; [BlockMetal]; [FluidTreasure]. LCC (Lack of Component Cohesion) = 0.71
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fantasykingdoms.common; fantasykingdoms.common.init; fantasykingdoms.common
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.init,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fantasykingdoms.common
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.init,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InitBlocks; InitRecipes; InitItems; InitMaterials]; [InitConfig]; [InitEntities]. LCC (Lack of Component Cohesion) = 0.5
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.init,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fantasykingdoms.common.init; fantasykingdoms.common.lib; fantasykingdoms.common.init
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.items,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseItem; BaseItemWithMetadata; ItemGem; ItemIngot; ItemNugget; ItemStygiumRing; ItemWizardsKey]; [ItemDeflectionBelt]; [ItemNormalArmor]; [ItemPotionBelt]; [ItemPotionRing]. LCC (Lack of Component Cohesion) = 0.45
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.items.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ItemBattleaxe]; [ItemCrossbow]; [ItemDagger]; [ItemLongbow]; [ItemMace]; [ItemRuneblade]; [ItemShortbow]. LCC (Lack of Component Cohesion) = 1.0
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.lib,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fantasykingdoms.common.init
