Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
tgibbons-students-css_VogellaDatabaseAsg10Start,edu.css.cis3334.vogellasampleinclass,CommentsDataSource,createComment,Long Statement,The length of the statement "Cursor cursor=database.query(MySQLiteHelper.TABLE_COMMENTS`null`MySQLiteHelper.COLUMN_ID + " = " + insertId`null`null`null`null);" is 129.,31
tgibbons-students-css_VogellaDatabaseAsg10Start,edu.css.cis3334.vogellasampleinclass,MySQLiteHelper,onUpgrade,Long Statement,The length of the statement "Log.w(MySQLiteHelper.class.getName()`"Upgrading database from version " + oldVersion + " to "+ newVersion+ "` which will destroy all old data");" is 144.,32
