Project Name,Package Name,Architecture Smell,Cause of the Smell
mit09_my-mapreduce,neu.mapreduce.autodiscovery,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): neu.mapreduce.io.sockets
mit09_my-mapreduce,neu.mapreduce.autodiscovery,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: neu.mapreduce.autodiscovery; neu.mapreduce.io.sockets; neu.mapreduce.autodiscovery
mit09_my-mapreduce,neu.mapreduce.core.shuffle,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): neu.mapreduce.io.sockets
mit09_my-mapreduce,neu.mapreduce.core.shuffle,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: neu.mapreduce.core.shuffle; neu.mapreduce.io.sockets; neu.mapreduce.core.shuffle
mit09_my-mapreduce,neu.mapreduce.io.fileSplitter,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): neu.mapreduce.io.sockets
mit09_my-mapreduce,neu.mapreduce.io.fileSplitter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: neu.mapreduce.io.fileSplitter; neu.mapreduce.io.sockets; neu.mapreduce.io.fileSplitter
