Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldCreateLikesUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldCreateHatesUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldCreateLikesUsingPhone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldNotCreateLikesWithInvalidEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldNotCreateLikesWithInvalidEmail2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldNotCreateLikesWithInvalidPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldNotCreateLikesUsingInvalidURLPrefix,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,shouldNotCreateLikesUsingInvalidURL,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreatePageHandlerTest,shouldCreatePageUsingURL,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreatePageHandlerTest,shouldCreatePageUsingTitle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreatePageHandlerTest,shouldCreatePageUsingURLandTitle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreatePageHandlerTest,shouldCreatePageWithSpaces,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreatePageHandlerTest,shouldNotCreatePageUsingInvalidURLPrefix,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreatePageHandlerTest,shouldNotCreatePageUsingInvalidURL,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateTokenHandlerTest,shouldCreateTokenUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateTokenHandlerTest,shouldNotCreateTokenUsingPhone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateTokenHandlerTest,shouldNotCreateTokenWithGarbageJSON,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateTokenHandlerTest,shouldNotCreateTokenWithBadParameters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetKnowsHandlerTest,shouldGetKnowsUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetKnowsHandlerTest,shouldGetMultipleKnowsUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetKnowsHandlerTest,shouldGetEmptyKnowsUsingPhone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
