Project Name,Package Name,Architecture Smell,Cause of the Smell
prachiyshah_CoreNettyProject,eye,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 63
prachiyshah_CoreNettyProject,poke.monitor,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): poke.server.management.managers
prachiyshah_CoreNettyProject,poke.monitor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: poke.monitor; poke.server.management.managers; poke.monitor
prachiyshah_CoreNettyProject,poke.resources,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: poke.resources; poke.server.management.managers; poke.resources
prachiyshah_CoreNettyProject,poke.server.conf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JsonUtil; ServerConfTest; NodeDesc; ServerConf]; [ServerConf.GeneralConf]; [ServerConf.NearestConf]; [ServerConf.ResourceConf]. LCC (Lack of Component Cohesion) = 0.57
prachiyshah_CoreNettyProject,poke.server.management,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): poke.server.management.managers
prachiyshah_CoreNettyProject,poke.server.management,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InboundMgmtWorker; ManagementQueue; OutboundMgmtWorker; ManagementHandler]; [ManagementHandler.ManagementClosedListener]; [ManagementInitializer]; [ManagementQueue.ManagementQueueEntry]. LCC (Lack of Component Cohesion) = 0.57
prachiyshah_CoreNettyProject,poke.server.management,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: poke.server.management; poke.server.management.managers; poke.server.management
prachiyshah_CoreNettyProject,poke.server.management.managers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): poke.server; poke.resources
prachiyshah_CoreNettyProject,poke.server.management.managers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ElectionManager; HeartbeatListener; JobManager; LeaderElectionData; HeartbeatConnector; HeartbeatData; HeartbeatManager; HeartbeatManager.CloseHeartListener; NetworkManager]; [HeartbeatData.BeatStatus]. LCC (Lack of Component Cohesion) = 0.2
prachiyshah_CoreNettyProject,poke.server.queue,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChannelQueue; DiscreteQueue; NoOpQueue; OnlyOneQueue; PerChannelQueue; PerChannelQueue.OutboundWorker; PerChannelQueue.InboundWorker; PerChannelQueue.CloseListener; QueueFactory]; [DiscreteQueue.OneQueueEntry]; [DiscreteQueue.QueueTask]; [OnlyOneQueue.OneQueueEntry]; [DiscreteQueueTest]. LCC (Lack of Component Cohesion) = 0.38
prachiyshah_CoreNettyProject,poke.server,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Server]; [Server.StartCommunication]; [Server.StartManagement]; [ServerHandler]; [ServerHandler.ConnectionClosedListener]; [ServerInitializer]. LCC (Lack of Component Cohesion) = 1.0
prachiyshah_CoreNettyProject,poke.server,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: poke.server; poke.server.management.managers; poke.server
