Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
buremba_netty-rest,org.rakam.server.http,HttpServer,initChannel,Magic Number,The method contains a magic number: 2,744
buremba_netty-rest,org.rakam.server.http,HttpServer,initChannel,Magic Number,The method contains a magic number: 36192,744
buremba_netty-rest,org.rakam.server.http,HttpServer,initChannel,Magic Number,The method contains a magic number: 8,744
buremba_netty-rest,org.rakam.server.http,HttpServer,initChannel,Magic Number,The method contains a magic number: 36192,744
buremba_netty-rest,org.rakam.server.http,HttpServer,initChannel,Magic Number,The method contains a magic number: 16,744
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,build,Long Statement,The length of the statement "return new HttpServer(httpServices`websocketServices`swagger`eventLoopGroup`jsonRequestPreprocessors.build()`postProcessorEntryBuilder.build()`mapper == null ? HttpServer.DEFAULT_MAPPER : mapper`overridenMappings`exceptionHandler`customRequestParameters`swaggerOperationConsumer`useEpoll && Epoll.isAvailable()`proxyProtocol`maximumBodySize`enableDebugMode);" is 358.,140
buremba_netty-rest,org.rakam.server.http,HttpServerHandler,channelRead,Complex Method,Cyclomatic complexity of the method is 19,63
buremba_netty-rest,org.rakam.server.http,HttpServerHandler,channelRead,Magic Number,The method contains a magic number: 2,63
buremba_netty-rest,org.rakam.server.http,HttpServiceProcessor,process,Long Statement,The length of the statement "messager.printMessage(Diagnostic.Kind.ERROR`format("%s class extends HttpService but doesn't have javax.ws.rs.Path annotation. " + "HttpService subclasses must have it in order to define their scope."`element.toString()));" is 222.,25
buremba_netty-rest,org.rakam.server.http,HttpServiceProcessor,process,Long Statement,The length of the statement "messager.printMessage(Diagnostic.Kind.ERROR`format("%s class has %s but %s annotation but doesn't have %s annotation"`element.toString()`JsonRequest.class.getCanonicalName()`Path.class.getCanonicalName()));" is 206.,25
buremba_netty-rest,org.rakam.server.http,HttpServiceProcessor,process,Long Statement,The length of the statement "messager.printMessage(Diagnostic.Kind.ERROR`format("%s method can't have void return type because it has %s annotation"`element.toString()`JsonRequest.class.getCanonicalName()));" is 178.,25
buremba_netty-rest,org.rakam.server.http,HttpServiceProcessor,process,Long Statement,The length of the statement "messager.printMessage(Diagnostic.Kind.ERROR`format("%s method must have exactly one parameter because it has %s annotation"`element.toString()`JsonRequest.class.getCanonicalName()));" is 182.,25
buremba_netty-rest,org.rakam.server.http,JsonBeanRequestHandler,JsonBeanRequestHandler,Long Parameter List,The method has 5 parameters. ,31
