Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Superjisan_Stormy,superjisan.com.stormy,AlertDialogFragment,onCreateDialog,Long Statement,The length of the statement "AlertDialog.Builder builder=new AlertDialog.Builder(context).setTitle(context.getString(R.string.error_title)).setMessage(context.getString(R.string.error_message)).setPositiveButton(context.getString(R.string.error_ok_button_text)`null);" is 238.,13
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getFormattedTime,Magic Number,The method contains a magic number: 1000,33
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getIconId,Complex Method,Cyclomatic complexity of the method is 11,46
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getPrecipChance,Magic Number,The method contains a magic number: 100,100
Superjisan_Stormy,superjisan.com.stormy,MainActivity,onCreate,Magic Number,The method contains a magic number: 37.826,47
Superjisan_Stormy,superjisan.com.stormy,MainActivity,onCreate,Magic Number,The method contains a magic number: 122.423,47
