Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
mk12_mycraft,org.lwjgl.test.opengl.sprites,SpriteShootoutMapped.Sprite,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mk12_mycraft,org.lwjgl.test.opengl.sprites,SpriteShootoutMapped.SpriteRender,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mk12_mycraft,org.lwjgl.test.opengles,Gears,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
mk12_mycraft,org.lwjgl.util.generator,GeneratorVisitor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
mk12_mycraft,org.lwjgl.util.generator,JavaMethodsGenerator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
mk12_mycraft,org.lwjgl.util.glu.tessellation,GLUtessellatorImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
mk12_mycraft,org.lwjgl.util.glu.tessellation,PriorityQ.PQnode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mk12_mycraft,org.lwjgl.util.glu.tessellation,PriorityQ.PQhandleElem,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mk12_mycraft,org.lwjgl.util.glu.tessellation,Sweep,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
mk12_mycraft,org.lwjgl.util.mapped,MappedObject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SIZEOF (70)
mk12_mycraft,com.mitchellkember.mycraft,GameRenderer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
