Project Name,Package Name,Architecture Smell,Cause of the Smell
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.util.args; com.vladium.util; com.vladium.logging; com.vladium.emma
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.emma.instr; com.vladium.emma.filter; com.vladium.util; com.vladium.logging; com.vladium.emma
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.emma.instr; com.vladium.jcd.compiler; com.vladium.util; com.vladium.logging; com.vladium.emma
ngladitz_emma,com.vladium.emma.data,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.vladium.emma.ant; com.vladium.emma.instr
ngladitz_emma,com.vladium.emma.data,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [mergeTask; MergeProcessor; ClassDescriptor; CoverageData; DataFactory; ICoverageData; IMergeable; IMetaData; IMetadataConstants; ISessionData; MetaData; MethodDescriptor; SessionData; CoverageOptions; CoverageOptionsFactory; mergeCommand]; [DataFactory.UCFileInputStream]; [DataFactory.UCFileOutputStream]; [DataFactory.RandomAccessFileInputStream]; [DataFactory.RandomAccessFileOutputStream]; [ICoverageData.DataHolder]. LCC (Lack of Component Cohesion) = 0.29
ngladitz_emma,com.vladium.emma.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma.data; com.vladium.emma.instr; com.vladium.emma.data
ngladitz_emma,com.vladium.emma.instr,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FilterCfg]; [FilterCfg.filterElement]; [instrTask; InstrProcessor; InstrProcessorST; InstrVisitor; InstrVisitor.CodeSegment; instrCommand]; [instrTask.ModeAttribute]; [InstrProcessor.OutMode]; [InstrProcessorST.Job]; [InstrProcessorST.FileWriteJob]; [InstrProcessorST.EntryWriteJob]; [InstrVisitor.InstrResult]; [InstrVisitor.BlockList]; [InstrVisitor.Block]; [InstrVisitor.EmitCtx]; [InstrVisitor.Branch]; [InstrVisitor.TERMINATE]; [InstrVisitor.RET]; [InstrVisitor.JUMP2]; [InstrVisitor.JUMP4]; [InstrVisitor.IFJUMP2]; [InstrVisitor.LOOKUPSWITCH]; [InstrVisitor.TABLESWITCH]; [InstrVisitor.clinitHeader]; [InstrVisitor.methodHeader]; [InstrVisitor.BlockSegment]; [InstrVisitor.LineNumberComparator]. LCC (Lack of Component Cohesion) = 0.83
ngladitz_emma,com.vladium.emma.report,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 52
ngladitz_emma,com.vladium.emma.report,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IReportEnums; ReportCfg.Element; reportTask; IReportProperties; ReportProcessor; ReportProperties; ReportProperties.ReportPropertyMapper; SourcePathCache; SrcFileItem; IReportEnums.DepthAttribute; IReportEnums.ViewTypeAttribute; IReportEnums.UnitsTypeAttribute; ReportCfg; AbstractItemVisitor; AbstractReportGenerator; AllItem; ClassItem; IItem; IItemAttribute; IItemAttribute.Factory; IItemAttribute.Attribute; IItemAttribute.NameAttribute; IItemAttribute.FractionAttribute; IItemMetadata; IItemVisitor; IReportDataModel; IReportDataView; IReportGenerator; Item; Item.ItemMetadata; ItemComparator; ItemComparator.Factory; ItemComparator.NullComparator; ItemComparator.ReverseComparator; ItemComparator.CompositeComparator; MethodItem; PackageItem; ReportDataModel; ReportDataModel.ReportDataView; ReportProperties.ParsedProperties; reportCommand]; [IReportEnums.TypeAttribute]; [ReportCfg.Element_HTML]; [ReportCfg.Element_TXT]; [ReportCfg.Element_XML]; [IItemAttribute.NameComparator]; [IItemAttribute.FractionComparator]; [IItemMetadata.Factory]; [IReportDataModel.Factory]; [SourcePathCache.CacheEntry]; [SourcePathCache.FileExtensionFilter]; [SrcFileItem.LineCoverageData]. LCC (Lack of Component Cohesion) = 0.23
ngladitz_emma,com.vladium.emma.rt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppRunner; ClassPathProcessorST; IClassLoadHook; InstrClassLoader; InstrClassLoadHook; RT; RTCoverageDataPersister; RTExitHook; RTSettings; ClassPathCacheEntry]; [AppRunner.Invoker]; [AppRunner.AppRunnerExitHook]; [InstrClassLoader.PoolEntry]. LCC (Lack of Component Cohesion) = 0.31
ngladitz_emma,com.vladium.jcd.cls,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.vladium.jcd.cls.attribute; com.vladium.jcd.cls.constant
ngladitz_emma,com.vladium.jcd.cls,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractClassDefVisitor; ClassDef; ElementFactory; FieldCollection; Field_info; IAccessFlags; IAttributeCollection; IClassDefConstants; IClassDefVisitor; IConstantCollection; IFieldCollection; IInterfaceCollection; IMethodCollection; InterfaceCollection; MethodCollection; Method_info; AttributeCollection; ConstantCollection; ConstantCollection.ConstantIterator]; [ClassDef.FieldDescriptor]; [ClassDef.ConstructorDescriptor]; [ClassDef.MethodDescriptor]; [IConstantCollection.IConstantIterator]; [IConstantCollection.IConstantComparator]. LCC (Lack of Component Cohesion) = 0.25
ngladitz_emma,com.vladium.jcd.cls,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.jcd.cls; com.vladium.jcd.lib; com.vladium.jcd.cls
