Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Repository
presentation.gui.editor,Editor.MouseMoveHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.editor,Editor.MouseMoveHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.editor,Editor.MouseHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.editor,Editor.MouseHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.editor.entity,EntityManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.gui.editor.entity,EntityPanel,Feature Envy,The tool detected a instance of this smell because position is more interested in members of the type: Entity,,CXgamer_MC-ticker
presentation.gui.editor.entity,EntityPanel,Feature Envy,The tool detected a instance of this smell because checkVisibility is more interested in members of the type: Entity,,CXgamer_MC-ticker
presentation.gui.editor.layer,LayerManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.gui.editor.selection,SelectionManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.gui.menu,FileMenu,Feature Envy,The tool detected a instance of this smell because buildGUI is more interested in members of the type: MainController,,CXgamer_MC-ticker
presentation.gui.menu,FileMenu,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.gui.menu,LinkedCheckbox.ToggleHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.menu,LinkedCheckbox.ToggleHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.menu,WorldMenu,Feature Envy,The tool detected a instance of this smell because buildGUI is more interested in members of the type: WorldController,,CXgamer_MC-ticker
presentation.gui.tiles.conditions,ConditionCustom,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.tiles.conditions,ConditionData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.tiles.conditions,ConditionId,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.tiles.conditions,ConditionOrientation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.tiles.conditions,UsedMask,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mask,CXgamer_MC-ticker
presentation.gui.tiles.conditions,UsedMask,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mask,,CXgamer_MC-ticker
presentation.gui.tiles,Mirror,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.time,PlayState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.toolbar,Timebar,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.gui.toolbar,WrappingLayout,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LEFT; CENTER; RIGHT; LEADING; TRAILING; align; hgap; vgap,,CXgamer_MC-ticker
presentation.gui.windows,InternalWindow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows,InternalWindow.ResizeHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows,InternalWindow.ResizeHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main,ExportWindow,Feature Envy,The tool detected a instance of this smell because lockTime is more interested in members of the type: MainController,,CXgamer_MC-ticker
presentation.gui.windows.main,ExportWindow.WorldSelectedHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.main,ExportWindow.WorldSelectedHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.main,ExportWindow.BrowsePathHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.main,ExportWindow.BrowsePathHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
